"Ceremony","Award_Name"
"Matera Sports Film Festival","Jury Prize"
"Montecatini Filmvideo - International Short Film Festival","FilmVideo Award"
"Philadelphia Documentary and Fiction Festival","Jury Prize"
"San Francisco Short Film Festival","Festival Prize"
"Sport Movies & TV, Milan","Mention d'Honneur"
"Sport Movies & TV, Milan","Guirlande d'Honneur"
"Thinking Football Film Festival","Audience Award"
"Zwergwerk - Oldenburger Kurzfilmtage","Festival Prize"
"Be there! Corfu Animation Festival","Grand Prize"
"Eugene International Film Festival","Best Science Fiction Short Short"
"Hong Kong International Film Festival","Short Film - Jury Prize"
"Cine-Macabre","Audience Award"
"Canadian Screen Awards, CA","Golden Screen Award"
"Canadian Screen Awards, CA","Cineplex Golden Reel Award"
"Festival International Nature Namur","Prix Découverte"
"Montréal Festival of New Cinema","Grand Prix Focus"
"Annecy International Animated Film Festival","Sacem Award for Original Music"
"FANCINE Festival de Cine Fantastico de la Universidad de Malaga","Audience Award"
"Flickerfest International Short Film Festival","Best Use of Digital Technology in a Short Film"
"HollyShorts Film Festival","VFX Award"
"Pontault-Combault Short Film Festival","Prix du Conseil Général"
"Regensburg Short Film Week","Best German Short Film - Special Mention"
"Tehran Short Film Festival","Best Animation"
"Whistler Film Festival","Best International ShortWork Award"
"BendFilm Festival","Best Directing"
"Denver International Film Festival","New Directors Award"
"Mar del Plata Film Festival","'Red de Cine de Derechos Humanos' Award - Special Mention"
"Ouagadougou Panafrican Film and Television Festival","CAP RENOV Award"
"Ouagadougou Panafrican Film and Television Festival","LONAB Award of Hope"
"IBAFF International Film Festival","Accesit"
"Bilbao International Festival of Documentary and Short Films","Honorary Mikeldi"
"Bastia Italian Film Festival","Special Mention of the Corte University Students"
"Mons International Festival of Love Films","Best Belgian Short Film"
"Lisbon & Estoril Film Festival","Montblanc Award"
"Almeria Western Film Festival","Leone in Memoriam Award"
"Murcia Week of Spanish Cinema","Primavera Award"
"TP de Oro, Spain","Lifetime Achievement Award"
"Independent Days","No-Budget-Contest"
"Shanghai International Film Festival","Best Short Film Director"
"Montréal Festival of New Cinema","Best New Media Work"
"BAFTA Awards, Scotland","Craft Award for Outstanding Contribution to Film or Television"
"Camerimage","Best Film Adaptation of an Opera"
"Canadian Student Film Festival","Jury Award"
"Munich International Festival of Film Schools","Special Jury Award"
"Skip City International D-Cinema Festival","Skip City Award"
"Havana New Directors Film Festival","Special Jury Award"
"Doclisboa International Film Festival","Schools Award ETIC"
"Los Angeles Film Awards","LAFA August Award"
"Moondance International Film Festival","Foreign Feature Award"
"Warsaw International Film Festival","Best Animated Short"
"Whistler Film Festival","International ShortWork Award"
"Flyway Film Festival","Jury Prize"
"Flyway Film Festival","Festival Prize"
"Mascara & Popcorn International Film Festival, CA","Audience Award"
"Rhode Island International Film Festival","Hearts, Minds, Souls Award"
"Magnolia Independent Film Festival","Ron Tibbet Award for Excellence in Film"
"Magnolia Independent Film Festival","Elena Zastawnik Award for Best Written Film"
"National Film Challenge, USA","National Film Challenge Award"
"Almería International Short Film Festival","Best Short Video"
"Festival of Fantastic Films, UK","The Delta Award"
"Oslo/Fusion International Film Festival","Jury Prize"
"Africa International Film Festival (AFRIFF)","International Short Film Competition"
"Los Angeles Cinema Festival of Hollywood, US","Best Feature Film"
"Anthem Film Festival, Las Vegas","Short Film Competition"
"Banff Mountain Film Competition","Festival Prize"
"Norwegian Short Film Festival","Norwegian Film Critics' Award - Special Mention"
"Norwegian Short Film Festival","Documentary Film Jury Award - Honorable Mention"
"Baja International Film Festival","Best Documentary Film"
"Madrid International Documentary Film Festival","Audience Award"
"Director's View Film Festival","First Prize"
"Emden International Film Festival","Emden Screenplay Award"
"Festival of German Film","Filmkunstpreis"
"Deauville Film Festival","New Hollywood Award"
"Studio City Film Festival, US","Best Screenplay, Dramatic Feature"
"Jameson CineFest - Miskolc International Film Festival","International Confederation of Art Cinemas Award"
"Ljubljana International Film Festival","Best Short Film"
"Regensburg Short Film Week","Award of the FilmFernsehFonds Bayern"
"Saint-Petersburg Open Cinema","Sandglass"
"South East European Film Festival Los Angeles","Audience Award"
"Tiburon International Film Festival","Federico Fellini Award"
"San Sebastián International Film Festival","Norteado Award"
"All Sports Los Angeles Film Festival","Audience Choice Award"
"Austrian Filmfestival","Austrian Indie Adler"
"Golden Diana","Golden Diana"
"Headline International Film Festival","Festival Award"
"North American Film Awards","Silver Jury Award"
"Cologne Conference","Top 10 of International Television"
"Minneapolis St. Paul International Film Festival","Emerging Filmmaker"
"River's Edge International Film Festival, US","Best Experimental"
"United States Super 8 Film + Digital Video Festival","Honorable Mention Winner"
"United States Super 8 Film + Digital Video Festival","Grand Prize"
"Uruguay International Film Festival","Award of the Documentary and Shorts Jury"
"Carthage Film Festival","Tanit d'Bronze"
"Katrin Cartlidge Foundation","Katrin Cartlidge Foundation Award"
"Montréal International Festival of Films on Art","Best Film for Television"
"The Grierson Trust British Documentary Award","Halo"
"Lux Style Awards","Lux Style Award"
"CINE Golden Eagle Film and Video Competition","CINE Special Jury Award"
"Kansas City Filmmakers Jubilee","Best of Fest"
"Los Angeles DIY Film Festival","Grand Prize"
"Los Angeles Italian Film Awards","Grand Jury Award"
"Louisville's International Festival of Film","Audience Award"
"Hot Docs Canadian International Documentary Festival","Hot Docs Forum Pitch Prize"
"Toronto International Film Festival","RBC Emerging Filmmaker Award - Fan Favorite"
"Brno International Noncommercial Film and Video Festival","Bronze Medal"
"Buenos Aires International Festival of Independent Cinema","UNICEF Award"
"Nantes Spanish Film Festival","Special Mention Best First Film"
"Master of Art Film Festival","Best Documentary in Fine Art and Photography"
"Encounters International Film Festival","Brief Encounters Best of the South West Award"
"London Independent Film Festival","Audience Award"
"Heavy Hitting HorrorFest","Heavy Hitting Award"
"Nyon Visions du Réel","George Foundation Prize"
"Tacoma Film Festival","Best Regional Film"
"Chelsea Film Festival","The Grand Prix Award: Dramatic"
"Chinese Documentary Festival","Festival Award"
"Gavà International Environmental Film Festival","El Prat de Llobregat Award"
"Venice Film Festival","Fascist Industry Confederation Cup"
"Flaiano International Prizes","Special Award"
"Italian National Syndicate of Film Journalists","Antica Fratta Award"
"Sannio FilmFest","Audience Award"
"Shortcutz Lisboa","Shortcutz Lisboa Annual Award"
"Master of Art Film Festival","Audience Award"
"Coimbra Caminhos do Cinema Português","Don Quijote Award"
"Toronto International Film Festival","Wavelengths Section"
"Hamptons International Film Festival","Investigation Discovery Award for Excellence in Journalism"
"Lithuanian Film Awards","Golden Crane"
"Brussels International Film Festival","BRTN Award"
"ToHorror Film Festival, Italy","Jury Award"
"Miami Film Festival","Knight Competition"
"Cine Eco Environment Film Festival","Young Jury Award"
"Hot Docs Canadian International Documentary Festival","Emerging International Filmmaker Award"
"Boston Film Festival","Mass Impact Award"
"Montpellier Mediterranean Film Festival","Audience Award - Short Film"
"Oberhausen International Short Film Festival","Promotional Award"
"Tehran Short Film Festival","In Search of Truth"
"Vilnius International Film Festival","Short Films Competition"
"CineSol Film Festival","Festival Prize"
"George Lindsey UNA Film Festival","Best of Show"
"Icaro-Festival de Cine y Video en Centroamerica","Festival Award"
"Ivy Film Festival","Honorary Mention"
"Nashville Film Festival","Golden Lion"
"Oregon International Film Awards, US","Silver Award"
"RiverRun International Film Festival","Documentary Features Competition"
"Salem Film Fest, US","Special Jury Award"
"New Hampshire Film Festival","New Hampshire Film of the Year"
"Cinemanila International Film Festival","Best Short Film"
"Women in Film Crystal Awards","Face of the Future"
"Jersey Gore Film Festival, US","Ground-Breaker Award"
"Jersey Gore Film Festival, US","Best Director Award"
"Killer Film Festival, US","KFF Online Audience Award"
"PollyGrind Underground Film Festival of Las Vegas","Most Innovative Film"
"PollyGrind Underground Film Festival of Las Vegas","Best Found Footage Film"
"PollyGrind Underground Film Festival of Las Vegas","Most Horrifying Film"
"PollyGrind Underground Film Festival of Las Vegas","Best Transgression Film"
"Underground Monster Carnival","Best Director"
"Montecatini Filmvideo - International Short Film Festival","Golden Heron"
"Boston Film Festival","Visionary Award"
"Almería International Short Film Festival","Best Screenplay - National Competition"
"Nikkan Sports Film Awards","Ishihara Yujiro New Actor Award"
"Seoul International Drama Awards","People's Choice Award"
"Shanghai International Film Festival","Outstanding Contribution to World Cinema"
"Sidewalk Film Festival","Jambor-Franklin Founder's Award for Best Narrative"
"Regensburg Short Film Week","Mittelbayerische.de Award"
"African Movie Academy Awards","Special Jury Award"
"Cine Noir - A Festival of Black Film","Jury Award"
"NAFCA Awards","The African Oscar"
"Savannah Film Festival","Lincoln Filmmaker Award"
"New York VisionFest","Special Award"
"Abilene WESTfest","Luminaria Award"
"American Society of Cinematographers, USA","ASC Heritage Award"
"Cinematexas International Short Film Festival","Cinematography Award"
"Cinematexas International Short Film Festival","Bettye Nowlin Award for Student Excellence in Filmmaking"
"Cinematexas International Short Film Festival","Screenplay Award"
"Garden State Film Festival","Garden State Movie Music Award"
"Indiana Film Journalists Association, US","Hoosier Award"
"Matsalu Nature Film Festival","1st Prize, Man and Nature"
"Missoula International Wildlife Film Festival","Jury Prize"
"Skyline Indie Film Fest, US","Jury Award"
"Hollywood Film Awards","New Hollywood Award"
"Festigious International Film Festival","Honorable Mention"
"Gold Movie Awards Goddess Nike","August Award"
"Los Angeles CineFest","Semi-Finalist"
"Doclisboa International Film Festival","Portuguese Competition"
"IndieLisboa International Independent Film Festival","Allianz - Ingreme Award"
"Vila do Conde International Short Film Festival","Kodak Award for Best Portuguese Short Film"
"San Francisco Independent Film Festival","Jury Prize"
"Montréal Festival of New Cinema","Jury Special Prize"
"Sonoma Valley Film Festival","Programmer's Award"
"Toronto Worldwide Short Film Festival","Special Jury Prize"
"Camden International Film Festival","Audience Award"
"Angelus Awards Student Film Festival","Outstanding Documentary"
"Film Festival Oostende","Look Prize"
"Munich International Documentary Festival (DOK.fest)","Filmschool Award"
"Brussels International Independent Film Festival","Best Asian Film"
"Woods Hole Film Festival","New England Emerging Filmaker Award"
"Amiens International Film Festival","President's Special Award"
"Tampere International Short Film Festival","Main Prize - Micromovies Competition"
"Max Ophüls Festival","Filmclub Award"
"Gothenburg Indie Film Fest","Peace Award"
"Indie Grits, US","Animated Grit"
"Tacoma Film Festival","Best Narrative Feature"
"Berlin International Film Festival","Film Prize of the Robert Bosch Stiftung for International Cooperation"
"Golden Kite Awards","Golden Kite Award"
"Hanoi International Film Festival","People's Choice Award"
"Capalbio Cinema","Onde Corte"
"Nordisk Panorama","Nordic Talent Award"
"Norwegian Short Film Festival","Norwegian Film Critics' Award"
"Gwangju International Film Festival","Kim Daejung Nobel Peace Film Award"
"Namur International Festival of French-Speaking Film","ACCT Promotional Award"
"Oslo Films from the South Festival","FIPRESCI Prize - Special Mention"
"Indie Memphis Film Festival","Craig Brewer Emerging Filmmaker Award"
"Vancouver International Film Festival","Most Promising Director of a Canadian Short Film - Special Mention"
"FENACO International Shorts Film Festival","Best International Short Film"
"Rhode Island International Film Festival","Best Director"
"Biberach Film Festival","C.I.C.A.E. Award"
"Zoom Festival, Spain","ZOOM Award"
"International Women Film Festival of Sale, Morocco","Prix du scénario"
"Tbilisi International Film Festival","Special Commendation"
"Berlin Interfilm Festival","Best Cinematography"
"Encounters International Film Festival","Nahemi/Koadk Prize for Creative Filmmaking"
"European Short Film Festival of Bordeaux","Prix du jury étudiant"
"FEC Festival (European Short Film Festival)","European Award"
"Film+","Promotional Editing Award - Honorable Mention"
"Independent Days","Low Budget Competion"
"Lille Short Film Festival","Grand Jury Award"
"Lille Short Film Festival","Youth Award"
"Monfrague Films Festival","Festival Prize"
"Naoussa International Film Festival","Festival Prize"
"Naoussa International Film Festival","First prize"
"Naoussa International Film Festival","Peoples Choice Award"
"Ozu Film Festival","Audience Award - Roberto Costi Prize"
"Potsdam Sehsüchte","Focus Prize"
"San Sebastián International Film Festival","International Film School Meeting Award"
"Tabor Film Festival","Best Fiction Film"
"Villeurbanne Short Film Festival","Grand Prix"
"Villeurbanne Short Film Festival","Prix du Cinéma Indépendant"
"Hoboken International Film Festival","Best Screenplay"
"Mockfest Film Festival, US","Best Writer"
"Taipei Film Festival","Pro-Film Industry Award, Life Achievement Award"
"Doclisboa International Film Festival","Culturgest Award"
"Shortcutz Xpress Viseu","Short Film of the Month"
"Chicago Underground Film Festival","Goose Island Brewed in Chicago Award"
"Valencia Festival of Mediterranean Cinema","Best Cinematography"
"Jerusalem Film Festival","The Israel Film Center Distribution Award"
"BendFilm Festival","Best Cinematography"
"Neuchâtel International Fantastic Film Festival","Imaging the Future Award - Special Mention"
"Golden Bauhinia Awards","Lifetime Achievement Award"
"Documentaries Without Borders Film Festival","Best of Show Award"
"Festiwal Niepokorni Niezlomni Wykleci","Janusz Krupski Award"
"Sose International Film Festival","Best Short Film"
"Macon Film Festival","Audience Choice"
"Avanca Film Festival","Trailer in Motion Prize"
"Diagonale, Austria","Diagonale Award"
"Golden Screen Awards, Philippines","Gawad Lino Brocka Award"
"Cinéma du Réel","Joris Ivens Award - Mention"
"Torino International Festival of Young Cinema","Women-Men Equal Rights Award - Special Mention"
"Vitória Cine Vídeo","Special Jury Award"
"Dhaka International Film Festival","NETPAC Award"
"Windsor International Film Festival","Filmmaker Retrospective"
"Aix-en-Provence International Short Film Festival","Prix Cinécourts"
"Corta! - Porto International Short Film Festival","Onda Curta Prize"
"Filmstock International Film Festival","Short Film Award"
"International Panorama of Independent Filmmakers, Greece","Best Short Film"
"Portobello Film and Video Festival","Digital Camera Award"
"Strasbourg Film Festival (II)","Best Director"
"Hamburg International Short Film Festival","Freestyle Award"
"Abilene WESTfest","Audience Award"
"Famous Monsters Film Festival","Festival Prize"
"Fantasmagorical Film Festival","Best Sci Fi Feature"
"Fantastic Planet Film Festival","Jury Award"
"Fargo Fantastic Film Festival","Jury Prize"
"Phoenix Comicon Film Festival","Festival Award"
"Utah Film Awards","Jury Prize"
"AM Egypt Film Festival","Festival Prize"
"Sutter Creek International Film Festival","Festival Award"
"Annecy International Animated Film Festival","Children's Film Award"
"Garden State Film Festival","Budd Abbott Award"
"Monaco International Film Festival","Independent Spirit Award"
"Monaco International Film Festival","Angel Award"
"One-Reeler Short Film Competition","Award of Excellence"
"WIND International Film Festival","Jury Award"
"Angers European First Film Festival","Best European Short Film"
"Foyle Film Festival","Light in Motion Award"
"Palm Springs International ShortFest","Panavision Grand Jury Award"
"Hamptons International Film Festival","Breakthrough Performer"
"Hong Kong International Film Festival","Golden DV Award - Special Mention"
"Roswell International Sci-Fi Film Festival","Jury Award"
"Doclisboa International Film Festival","Universities Award - Special Mention"
"Luchon International Film Festival","Best Supporting Actress"
"Paris Film Festival","Best Actress"
"Asians On Film Festival","Best Documentary"
"Regensburg Short Film Week","Jameson Short Film Award"
"The Festival Pantalla de Cristal","Pantalla de Cristal"
"Dances With Films","Best Screenplay"
"The Art of Brooklyn Film Festival","Jury Prize"
"Locarno International Film Festival","Action Light Award - Special Mention"
"Festival de Television de Monte Carlo","URTI Bronze Medal"
"Festival de Television de Monte Carlo","URTI Silver Medal"
"Jerusalem Film Festival","Mayors' Award - Honorable Mention"
"Biarritz International Festival of Audiovisual Programming","Michel Mitrani Award - Mention"
"Cleveland International Film Festival","Programmers' Choice Award - In Celebration of the life of Toni Oliverio"
"Louisiana Film Prize","Grand Prize"
"Gramado Film Festival","Special Kikito"
"Cine Eco Environment Film Festival","Grand Prize Envorimental"
"Tirana International Film Festival, AL","Lifetime Achievement Award"
"Annecy International Animated Film Festival","""""""""Off-Limits"""""""" Award"
"Newport Beach Film Festival","Chuck Jones Award"
"Palm Springs International ShortFest","Future Filmmaker Award - Honorable Mention"
"Toronto Arthouse Film Festival","Toronto New Vision Award"
"ImagineNative Film + Media Arts Festival","Audience Choice Award"
"TheWIFTS Foundation International Visionary Awards","The Lifetime Achievement Award"
"Gotham Awards","Durga Entertainment Filmmaker Grant"
"Drama Short Film Festival","New Talent Award (National)"
"Venice Film Festival","Best European Short Film"
"ASIFA/East Animation Festival","Honorable Mention"
"Hot Docs Canadian International Documentary Festival","Inspirit Foundation Pluralism Prize"
"Bay Street Film Festival","Festival Award"
"Vila do Conde International Short Film Festival","Jameson Short Film Award"
"Cinefiesta Puerto Rico International Short Film Festival","Grand Prize"
"AngelCiti Film Festival","Audience Award"
"Gijón International Film Festival","New Local Directors Award"
"Gijón International Film Festival","Dia D'Asturias Award"
"Screentest: The National Student Film Festival","Technical Achievement"
"Casting Society of America, USA","Hoyt Bowers Award"
"BIFEST - Bari International Film Festival","Documentary Competition Award"
"Viña del Mar Film Festival","Critics Award"
"Berlin International Film Festival","Special Prize of the Generation 14plus International Jury"
"Berlin International Film Festival","Think:Film Award - Special Mention"
"Cinema One Originals Digital Film Festival","Champion Bughaw Award"
"Cinema One Originals Digital Film Festival","Biogesic Short Film Award"
"Bergen International Film Festival","Best Norwegian Short Film"
"Minimalen","Honorable Mention"
"Berlin International Film Festival","Berlin Today Award"
"Jakarta International Film Festival","Audience Award"
"Ojai Film Festival","Best of Festival Award"
"Seattle International Film Festival","Special Jury Prize"
"Zurich Film Festival","Kids Jury Award"
"Abilene WESTfest","Bronze Medal"
"Queens World Film Festival","Audience Award"
"Sinag Maynila Film Festival","People's Choice Award"
"Los Angeles Pan African Film Festival","Best First Time Feature Director - Honorable Mention"
"A Night of Horror International Film Festival","Jury Award"
"Hollywood Reel Independent Film Festival","Best Genre Short"
"Torino Film Festival","UCCA Venti Citta Award - Special Mention"
"Hot Springs Documentary Film Festival","Spirit Award"
"Premios Aquila","Prémio Condor"
"Aix-en-Provence International Short Film Festival","Prix des Télévisions"
"Cosmic Zoom Film Festival","Cosmic Zoom Award"
"Baja International Film Festival","Best Film"
"Giffoni Film Festival","Crystal Gryphon"
"Sarasota Film Festival","Kids' Jury Award"
"BIFEST - Bari International Film Festival","First and Second Feature Competition Award"
"Cairo International Film Festival","Best Actor"
"Italian National Syndicate of Film Journalists","Hamilton Award"
"Rome Film Fest","Best Debut and Second Film Award - Special Mention"
"Annecy Italian Cinema Festival","Best Actress"
"Athens Panorama of European Cinema","Special Prize"
"Barcelona Italian Film Festival","CSCI Honorary Award"
"Brussels European Film Festival","Studio L'Equipe Prize"
"Busto Arsizio Film Festival","Best Actress"
"Capri, Hollywood","Capri European Actress Award"
"CineRockom International Film Festival","Diamond Award"
"Gavoi Film Festival","Honorary Silver Tumbarinu"
"Ischia Global Film & Music Festival","Ischia Breakout Italian Director Award"
"Rome Film Fest","L.A.R.A. Award"
"Sulmonacinema Film Festival","Best Actress"
"Taormina International Film Festival","TaorminaFilmFest Los Angeles Award"
"Taormina International Film Festival","Best Actress"
"Terra di Siena Film Festival","Honorary Award"
"Tetouan International Mediterranean Film Festival","Grand Prize"
"Torino Film Festival","Cabiria Award"
"Valenciennes International Festival of Action and Adventure Films","Best Actress"
"Venice Film Festival","Best Actress"
"Action on Film International Film Festival, USA","Best Western"
"Philadelphia Independent Film Festival, US","Best Local Feature"
"Golden Globes, USA","Miss Golden Globe"
"Ashland Independent Film Festival","Tangerine Entertainment Juice Award"
"Sidewalk Film Festival","Clint Howard Character Actor Award"
"Hollywood Reel Independent Film Festival","Best Director"
"L.A. Comedy Film Festival and Screenplay Competition","Audience Award"
"L.A. Comedy Film Festival and Screenplay Competition","Best Ensemble"
"Manhattan Short Film Festival","Best Screenplay"
"Air Canada En Route Film Festival","Festival Prize"
"Montréal World Film Festival","Best Documentary Film (Student Films)"
"Vila do Conde International Short Film Festival","Cottinelli Telmo Award for Best Portuguese Short Film"
"Hamilton Film Festival, CA","Festival Prize"
"CAAMFest","Emerging Filmmaker Award"
"Tokyo FILMeX","Next Masters Tokyo Best Project"
"Chagrin Documentary Film Festival","David Ponce Award - Best of the Festival"
"Hollywood International Independent Documentary Awards","Award of Excellence"
"Impact Docs Awards","Award of Merit"
"International Film Festival of India","ICFT-UNESCO Fellini Award"
"Delta International Film and Video Festival","Best Documentary"
"Cairo International Film Festival","Silver Award - Digital Films"
"Dinard British Film Festival","Kodak Award for Best Cinematography"
"Peñíscola Comedy Film Festival","Special Jury Award"
"Badajoz Short Film Festival","Best Screenplay"
"Biarritz International Festival of Latin American Cinema","Youth Jury Award"
"Whistler Film Festival","Borsos Award of Best Canadian Feature"
"Whistler Film Festival","Best Director of a Borsos Film"
"Vegas Indie Film Fest (VIFF)","Golden Bulb"
"Manhattan Film Festival","Honorable Mention"
"Aspen Shortsfest","Creative Consultation Award"
"Dresden Film Festival","Special Mention of the International Jury"
"Las Palmas Film Festival","Best Short Film"
"Sulmonacinema Film Festival","Special Mention of the Jury President"
"Cincinnati Film Festival","CFF Award"
"Cork International Film Festival","Grand Prix Cork"
"Dubai International Film Festival","Muhr Emirati Special Jury Prize"
"Dubai International Film Festival","Muhr Emirati Award"
"BAFTA Awards","EE Rising Star Award"
"Les Arcs European Film Festival","Best Actor Prize"
"Chinese Film Media Awards","Infinity Award"
"Feitian Television Awards","Feitian Television Award"
"Golden Phoenix Awards, China","Special Jury Award"
"Guangzhou Student Film Festival","Students' Choice Award"
"MTV Asia Awards","Regional Awards"
"New York Chinese Film Festival, US","NYCFF Award"
"Arouca Film Festival, Portugal","Best Documentary Film"
"Venice Film Festival","Upstream Prize"
"Janela do Recife International Film Festival","National Competition Shorts"
"Los Angeles Cinema Festival of Hollywood, US","Best Student Film"
"Doclisboa International Film Festival","Restart Award"
"Doclisboa International Film Festival","Jameson Award"
"Doclisboa International Film Festival","Lusófona University Public Award"
"FICUMAN Festival International de Cine UNAM","Puma"
"Chicago International Movies and Music Festival","Best Fiction Short"
"Munich Film Festival","CineVision Award - Honorable Mention"
"Emerging Cinematographer Awards","EC Award - Honorable Mention"
"CineRockom International Film Festival","Sapphire Award"
"Hollywood International Independent Documentary Awards","Award of Recognition"
"Rhode Island International Film Festival","Flickers' Youth Film Jury Award"
"Festróia - Tróia International Film Festival","Short Digital Videos"
"Monte-Carlo TV Festival","Red Cross Award"
"Wine Country Film Festival","Special Documentary Prize"
"Bahia Days of International Cinema","Glauber Rocha Award"
"Cartoon Forum, Europe","Cartoon d'Or - Special Mention"
"Vila do Conde International Short Film Festival","Honorable Mention - National Competition"
"Jamerican International Film Festival","Lifetime Achievement Award"
"Canadian Screen Awards, CA","Diversity Award"
"NFB Reel Diversity Competition","Reel Diversity Award"
"Australian Cinematographers Society","Queensland & Northern Territory Gold Award"
"Australian Cinematographers Society","Queensland & Northern Territory Bronze Award"
"Australian Cinematographers Society","Queensland & Northern Territory Silver Award"
"Film Critics Circle of Australia Awards","Best Short Documentary"
"HollyWeb Festival","Festival Award"
"DisOrient Asian American Film Festival","Best Feature Documentary"
"Hawaii International Film Festival","Special Mention"
"Chicago Underground Film Festival","Short & Sweet Award"
"Locarno International Film Festival","Film and Video Subtitling Award - Special Mention"
"Outfest","Fusion 2017 Achievement Award"
"Cork International Film Festival","Special Mention"
"Maremetraggio International Short Film Festival","Nuove Impronte Award"
"Novara Cine Festival","Nando"
"Ortigia Film Festival","Audience Award"
"Ortigia Film Festival","Jury Award"
"Primavera del Cinema Italiano Festival","Special Award"
"Social World Film Festival","Jury Award"
"Torino Film Festival","AVANTI! Award - Special Mention"
"Jakarta Film Festival","Best Film"
"Cinalfama Lisbon International Film Festival","Lisbon International Film Award"
"Days of Croatian Film","Audience Award"
"Dokufest International Documentary and Short Film Festival","Special Mention"
"Jihlava International Documentary Film Festival","International Documentary Film Festival Amsterdam (IDFA) Award"
"Sose International Film Festival","Jury Prize"
"Troféu Imprensa, Brazil","Troféu Internet"
"Days of Croatian Film","Life Achievement Award"
"London Short Film Festival, UK","Best Female Character"
"TheWIFTS Foundation International Visionary Awards","The Barbara Tipple Award"
"Gwinnett Center International Film Festival","Best Fiction Feature Film"
"Independent Television and Film Festival","Best Writer"
"Independent Television and Film Festival","Best Director"
"Lucerne International Film Festival","Best Feature Film"
"Busho, Budapest International Short Film Festival","Special Prize Of SOPRON"
"Toronto Student Film Showcase","Grand Jury Prize"
"Rochester International Film Festival","Audience Award"
"Zanzibar International Film Festival","Ingoma Trophy"
"Mannheim-Heidelberg International Filmfestival","Special Award of Mannheim-Heidelberg"
"PollyGrind Underground Film Festival of Las Vegas","Best Arthouse Film"
"PollyGrind Underground Film Festival of Las Vegas","Most Thought-Provoking Film"
"RxSM Self Medicated Film Expo, US","Crossroads Award"
"Taiwan International Documentary Film Festival","Chinese Documentary Jury Prize"
"Misfit Short Film & Video Festival","Judges' Choice"
"Polish Film Festival","Honorable Mention - Independent Film Competition"
"International Film Festival for Peace, Inspiration and Equality","Award of Outstanding Excellence"
"Athens International Film Festival","Best Debutant Director"
"Larissa Mediterranean Festival of New Filmmakers","Kodak Prize"
"London Greek Film Festival","Audience Award"
"Buenos Aires Rojo Sangre","Mejor Director Competencia Iberoamericana"
"Terra di Siena Film Festival","Critics Special Mention"
"Guam International Film Festival","Best of Festival Award"
"Miami International Short Film Festival","Special Mention"
"Venice Film Festival","Jury Special Mention"
"Celludroid Film Festival","Jury Prize"
"Orlando Film Festival","Independent Spirit"
"Berlin International Film Festival","Audi Short Film Award"
"Latvian National Film Festival","Award for Life Contribution"
"Asia-Pacific Film Festival","Best Special Effects"
"IndieLisboa International Independent Film Festival","Árvore da Vida Award"
"Luchon International Film Festival","Best Actress"
"Amarcord Chicago Arthouse Film Awards","Norman McLaren Award"
"Depth of Field International Film Festival Competition","Award of Exceptional Merit"
"Colchester Film Festival, UK","Best Film"
"Shanghai International Film Festival","Grand Short"
"Encounters International Film Festival","Best of British Animation"
"Rushes Soho Shorts Festival","Animation Award"
"Sheffield International Documentary Festival","Jerwood First Cuts Documentary Award"
"Premio Cinema Veneto Leone di Vetro","Leone di vetro"
"Amsterdam Film Festival","Van Gogh Award"
"Colony Film Festival, US","Film Award"
"Grove Film Festival, New Jersey","Festival Award"
"Haifa International Film Festival","Israeli Short Film Competition"
"Iron Mule Short Comedy Screening Series","Audience Award - March"
"Bel Air Film Festival","Best Jury Documentary"
"Eugene International Film Festival","Best Documentary"
"Irvine International Film Festival","Best Documentary"
"Louisville's International Festival of Film","Best Documentary"
"Prescott Film Festival","Festival Prize"
"Sun Valley Film Festival, US","One in a Million: Documentary"
"Toronto COMMFFest","Honorable Mention"
"Palermo International Sport Film Festival","Premio Super Paladino d'Oro"
"Palermo International Sport Film Festival","Paladino d'Oro"
"Palermo International Sport Film Festival","Premio Giuria'Giovani"
"Dublin International Film Festival","George Byrne Maverick Award"
"Jameson Dublin International Film Festival","Audience Award"
"Twin Cities Film Fest, US","Breakthrough Achievement Award"
"Madeira Film Festival","Ambassador of the Laurissilva Forest Award"
"Wild & Scenic Film Festival","Best in Theme"
"Santa Fe Independent Film Festival","Santa Fe Reporter Audience Choice Feature """"""""YAY"""""""" Award"
"Lübeck Nordic Film Days","Cinegate Award"
"Nuremberg Film Festival """"""""Turkey-Germany""""""""","Best Short - Special Mention"
"Terra di Siena Film Festival","Festival Prize"
"Terra di Siena Film Festival","Sanese d'Oro"
"ASEAN International Film Festival and Awards","Special Honor Award"
"Venice Film Festival","Best Scientific Film"
"San Francisco Short Film Festival","Special Mention"
"Cleveland International Film Festival","Best Student Short Film - Honorable Mention"
"Oaxaca FilmFest, MX","Global Script Challenge"
"Byron Bay International Film Festival","Special Mention"
"Honolulu Film Awards, US","Gold Kahuna Award"
"Julien Dubuque International Film Festival","Best Feature"
"Thessaloniki Film Festival","Digital Alexander"
"Coney Island Film Festival","Jury Award"
"New York International Independent Film & Video Festival","Best Directorial Debut Award"
"Black Sea Film Festival","Festival Award"
"Blizzard Awards","Blizzard"
"Solaris Film Festival","Festival Award"
"360° Contemporary Science Film Festival","Grand Jury Prize"
"360° Contemporary Science Film Festival","Brainstorm Prize"
"Communicator Awards","Silver Award Of Distinction"
"DV Awards","DV Award"
"Hollywood International Independent Documentary Awards","Award of Recognition - May"
